ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,local_code,coordinates
49691,55114,102187,794,107303,107310,107569,113682,34066,34066,195206
49692,55113,102188,914,107303,107310,107562,113056,24225,24225,195207
49693,55114,102189,504,107303,107310,107581,112282,9398,9398,195208
49694,55113,102190,1084,107303,107310,107568,112703,2064,2064,195209
49695,55115,102191,970,107303,107310,107574,135331,111581,111581,195210
49696,55114,102192,276,107303,107310,107594,111096,3294,3294,195211
49697,55114,102193,1744,107303,107310,107578,135332,111581,6997,195212
49698,55113,102194,1346,107303,107310,107569,110503,111581,34090,195213
49699,55114,102195,368,107303,107310,107578,112429,181,181,195214
49700,55113,102196,1061,107303,107310,107574,135333,111581,983,195215
49701,55113,102197,728,107303,107310,107567,114609,111581,33206,195216
49702,55114,102198,1308,107303,107310,107583,113681,51991,51991,195217
49703,55114,59351,1246,107303,107310,107550,115247,3202,3202,195218
49704,55114,102199,1435,107303,107310,107550,110713,2927,2927,195219
49705,55114,102200,1472,107303,107310,107577,135334,41696,41696,195220
49706,55114,102201,1334,107303,107310,107550,113148,2647,2647,195221
49707,55113,102202,325,107303,107310,107558,111420,19807,19807,195222
49708,55114,102203,164,107303,107310,107578,110682,9476,9476,195223
49709,55114,102204,1936,107303,107310,107578,134595,111581,111581,195224
49710,55114,102205,1913,107303,107310,107590,135335,35967,35967,195225
49711,55116,102206,1554,107303,107310,107568,119138,7864,7864,195226
49712,55113,102207,780,107303,107310,107598,111846,111581,145584,195227
49713,55114,102208,1413,107303,107310,107578,135336,8668,8668,195228
49714,55113,102209,48,107303,107310,107552,114900,1793,1793,195229
49715,55116,102210,962,107303,107310,107568,128129,2067,2067,195230
49716,55113,102211,902,107303,107310,107574,111147,6550,6550,195231
49717,55114,102212,245,107303,107310,107578,114175,7752,7752,195232
49718,55114,62726,2612,107303,107310,107578,112312,48028,48028,195233
49719,55114,102213,2401,107303,107310,107561,112863,23773,23773,195234
49720,55113,102214,398,107303,107310,107581,135337,5009,5009,195235
49721,55114,102215,1137,107303,107310,107554,129737,37661,37661,195236
49722,55114,102216,1643,107303,107310,107554,117984,37672,37672,195237
49723,55114,102217,1564,107303,107310,107554,117984,37622,37622,195238
49724,55114,102218,1692,107303,107310,107554,117984,5046,5046,195239
49725,55114,102219,984,107303,107310,107583,135338,6139,6139,195240
49726,55114,102220,0,107303,107310,107554,110828,111581,111581,195241
49727,55114,102220,1715,107303,107310,107554,110828,1595,1595,195242
49728,55113,102221,410,107303,107310,107552,111760,111581,5212,195243
49729,55114,102222,714,107303,107310,107552,111439,5217,5217,195244
49730,55113,102223,220,107303,107310,107552,111758,1787,1787,195245
49731,55113,102224,557,107303,107310,107552,135339,2978,2978,195246
49732,55114,102225,683,107303,107310,107552,111003,10602,10602,195247
49733,55114,102226,164,107303,107310,107552,114534,5215,5215,195248
49734,55113,102227,487,107303,107310,107551,135340,8993,8993,195249
49735,55114,102228,1352,107303,107310,107551,135341,602,602,195250
49736,55114,102229,1640,107303,107310,107554,110828,2197,2197,195251
49737,55114,102230,1599,107303,107310,107554,110828,2201,2201,195252
49738,55114,102231,1684,107303,107310,107554,110828,3775,3775,195253
49739,55113,102232,842,107303,107310,107573,125531,36803,36803,195254
49740,55114,102233,119,107303,107310,107558,110818,138623,138623,195255
49741,55114,102234,54,107303,107310,107578,113588,111581,145585,195256
49742,55113,102235,739,107303,107310,107562,110927,7952,7952,195257
49743,55114,102236,1453,107303,107310,107578,114527,2301,2301,195258
49744,55114,102237,509,107303,107310,107578,135342,1243,1243,195259
49745,55114,102238,1052,107303,107310,107554,111888,37675,37675,195260
49746,55113,102239,1363,107303,107310,107550,135343,4007,4007,195261
49747,55114,102240,648,107303,107310,107578,112873,3687,3687,195262
49748,55114,102241,41,107303,107310,107578,113512,6003,6003,195263
49749,55113,102242,1392,107303,107310,107553,110894,1441,1441,195264
49750,55113,102243,0,107303,107310,107597,114625,111581,111581,195265
